origin,destination,dayhour,value
Metro_AlAziziyah,Metro_MsheirebConcourse,13,233
Metro_AlAziziyah,Metro_MsheirebConcourse,14,171
Metro_AlAziziyah,Metro_MsheirebConcourse,15,101
Metro_AlAziziyah,Metro_MsheirebConcourse,16,48
Metro_AlAziziyah,Metro_MsheirebConcourse,17,45
Metro_AlAziziyah,Metro_MsheirebConcourse,18,22
Metro_AlAziziyah,Metro_MsheirebConcourse,19,23
Metro_AlAziziyah,Metro_MsheirebConcourse,20,17
Metro_AlAziziyah,Metro_MsheirebConcourse,21,15
Metro_AlAziziyah,Metro_MsheirebConcourse,22,24
Metro_AlAziziyah,Metro_MsheirebConcourse,23,9
Metro_AlAziziyah,Metro_MsheirebGoldPlatformEastBound,20,175
Metro_AlAziziyah,Metro_MsheirebGoldPlatformEastBound,21,437
Metro_AlAziziyah,Metro_MsheirebGoldPlatformEastBound,22,496
Metro_AlAziziyah,Metro_MsheirebGoldPlatformEastBound,23,246
Metro_AlAziziyah,Metro_MsheirebRedAndGreenPlatformNorthBound,22,6
Metro_AlAziziyah,Metro_MsheirebRedAndGreenPlatformNorthBound,23,43
Metro_AlAziziyah,Metro_MsheirebRedAndGreenPlatformSouthBound,22,18
Metro_AlAziziyah,Metro_MsheirebRedAndGreenPlatformSouthBound,23,23
Metro_AlAziziyah,Metro_NationalMuseum,0,39
Metro_AlAziziyah,Metro_NationalMuseum,1,65
Metro_AlAziziyah,Metro_NationalMuseum,2,47
Metro_AlAziziyah,Metro_NationalMuseum,3,13
Metro_AlAziziyah,Metro_NationalMuseum,6,2
Metro_AlAziziyah,Metro_NationalMuseum,7,15
Metro_AlAziziyah,Metro_NationalMuseum,8,27
Metro_AlAziziyah,Metro_NationalMuseum,9,64
